kolam,vertical_symmetry,horizontal_symmetry,rotation_180
41,0.0027586206896547064,0.0,0.0027586206896547064
42,0.0027586206896547064,0.0,0.0027586206896547064
43,0.002758620689654707,0.0,0.002758620689654707
44,0.0027586206896547064,0.0,0.0027586206896547064
45,0.0027586206896547073,0.0,0.0027586206896547073
46,0.0027586206896547064,0.0,0.0027586206896547064
47,0.0027586206896547064,0.0,0.0027586206896547064
48,0.002758620689654707,0.0,0.002758620689654707
49,0.0027586206896547064,0.0,0.0027586206896547064
50,0.0027586206896547064,0.0,0.0027586206896547064
51,0.0027586206896547064,0.0,0.0027586206896547064
52,0.0027586206896547064,0.0,0.0027586206896547064
53,0.0027586206896547064,0.0,0.0027586206896547064
54,0.002758620689654707,0.0,0.002758620689654707
55,0.0027586206896547064,0.0,0.0027586206896547064
56,0.002758620689654707,0.0,0.002758620689654707
57,0.0027586206896547064,0.0,0.0027586206896547064
58,0.002758620689654706,0.0,0.002758620689654706
59,0.0027586206896547073,0.0,0.0027586206896547073
60,0.0027586206896547073,0.0,0.0027586206896547073
61,0.002758620689654707,0.0,0.002758620689654707
62,0.0027586206896547064,0.0,0.0027586206896547064
63,0.002758620689654707,0.0,0.002758620689654707
64,0.0027586206896547073,0.0,0.0027586206896547073
65,0.002758620689654707,0.0,0.002758620689654707
66,0.0027586206896547073,0.0,0.0027586206896547073
67,0.0027586206896547064,0.0,0.0027586206896547064
68,0.0027586206896547064,0.0,0.0027586206896547064
69,0.0027586206896547064,0.0,0.0027586206896547064
70,0.0027586206896547073,0.0,0.0027586206896547073
71,0.002758620689654707,0.0,0.002758620689654707
72,0.002758620689654707,0.0,0.002758620689654707
73,0.002758620689654706,0.0,0.002758620689654706
74,0.0027586206896547064,0.0,0.0027586206896547064
75,0.0027586206896547064,0.0,0.0027586206896547064
76,0.002758620689654707,0.0,0.002758620689654707
77,0.002758620689654707,0.0,0.002758620689654707
78,0.0027586206896547064,0.0,0.0027586206896547064
79,0.002758620689654707,0.0,0.002758620689654707
80,0.0027586206896547073,0.0,0.0027586206896547073
81,0.0027586206896547064,0.0,0.0027586206896547064
82,0.0027586206896547056,0.0,0.0027586206896547056
83,0.0027586206896547064,0.0,0.0027586206896547064
84,0.0027586206896547064,0.0,0.0027586206896547064
85,0.0027586206896547064,0.0,0.0027586206896547064
86,0.0027586206896547064,0.0,0.0027586206896547064
87,0.0027586206896547073,0.0,0.0027586206896547073
88,0.0027586206896547064,0.0,0.0027586206896547064
89,0.0027586206896547064,0.0,0.0027586206896547064
90,0.002758620689654707,0.0,0.002758620689654707
91,0.0027586206896547064,0.0,0.0027586206896547064
92,0.002758620689654706,0.0,0.002758620689654706
93,0.002758620689654706,0.0,0.002758620689654706
94,0.0027586206896547073,0.0,0.0027586206896547073
95,0.002758620689654707,0.0,0.002758620689654707
96,0.0027586206896547064,0.0,0.0027586206896547064
97,0.0027586206896547064,0.0,0.0027586206896547064
98,0.0027586206896547064,0.0,0.0027586206896547064
99,0.002758620689654707,0.0,0.002758620689654707
100,0.0027586206896547064,0.0,0.0027586206896547064
101,0.0027586206896547064,0.0,0.0027586206896547064
102,0.0027586206896547073,0.0,0.0027586206896547073
103,0.0027586206896547064,0.0,0.0027586206896547064
104,0.0027586206896547064,0.0,0.0027586206896547064
105,0.002758620689654706,0.0,0.002758620689654706
106,0.002758620689654707,0.0,0.002758620689654707
107,0.0027586206896547073,0.0,0.0027586206896547073
108,0.0027586206896547073,0.0,0.0027586206896547073
109,0.002758620689654707,0.0,0.002758620689654707
110,0.0027586206896547073,0.0,0.0027586206896547073
111,0.002758620689654707,0.0,0.002758620689654707
112,0.002758620689654707,0.0,0.002758620689654707
113,0.0027586206896547064,0.0,0.0027586206896547064
114,0.0027586206896547064,0.0,0.0027586206896547064
115,0.002758620689654707,0.0,0.002758620689654707
116,0.0027586206896547064,0.0,0.0027586206896547064
117,0.002758620689654707,0.0,0.002758620689654707
118,0.002758620689654707,0.0,0.002758620689654707
119,0.002758620689654707,0.0,0.002758620689654707
120,0.002758620689654707,0.0,0.002758620689654707
121,0.0027586206896547073,0.0,0.0027586206896547073
122,0.0027586206896547056,0.0,0.0027586206896547056
123,0.0027586206896547073,0.0,0.0027586206896547073
124,0.0027586206896547064,0.0,0.0027586206896547064
125,0.0027586206896547073,0.0,0.0027586206896547073
126,0.0027586206896547073,0.0,0.0027586206896547073
127,0.002758620689654707,0.0,0.002758620689654707
128,0.002758620689654707,0.0,0.002758620689654707
129,0.0027586206896547073,0.0,0.0027586206896547073
130,0.0027586206896547064,0.0,0.0027586206896547064
131,0.0027586206896547073,0.0,0.0027586206896547073
132,0.0027586206896547064,0.0,0.0027586206896547064
133,0.0027586206896547073,0.0,0.0027586206896547073
134,0.0027586206896547064,0.0,0.0027586206896547064
135,0.002758620689654707,0.0,0.002758620689654707
136,0.0027586206896547064,0.0,0.0027586206896547064
137,0.0027586206896547064,0.0,0.0027586206896547064
138,0.002758620689654707,0.0,0.002758620689654707
139,0.002758620689654707,0.0,0.002758620689654707
140,0.0027586206896547073,0.0,0.0027586206896547073
141,0.0027586206896547073,0.0,0.0027586206896547073
142,0.0027586206896547064,0.0,0.0027586206896547064
143,0.002758620689654707,0.0,0.002758620689654707
144,0.0027586206896547073,0.0,0.0027586206896547073
